ExclusionID,Nom,Categorie,Description,PackImpacte
EX00220,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,Gold
EX00221,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 2 des CG.,Silver
EX00222,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 1 des CG.,Eco+
EX00223,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 13 des CG.,Premium
EX00224,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 35 des CG.,Tous
EX00225,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 31 des CG.,Gold+
EX00226,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 43 des CG.,Silver+
EX00227,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 6 des CG.,Business
EX00228,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 34 des CG.,Premium
EX00229,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 13 des CG.,Tous
EX00230,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,Eco
EX00231,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 45 des CG.,Premium
EX00232,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 3 des CG.,Silver+
EX00233,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 8 des CG.,Gold
EX00234,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 32 des CG.,Tous
EX00235,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 25 des CG.,Bronze
EX00236,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 35 des CG.,Eco
EX00237,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 30 des CG.,Bronze
EX00238,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 7 des CG.,Eco
EX00239,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 17 des CG.,Gold+
EX00240,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 33 des CG.,VIP
EX00241,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 33 des CG.,Eco+
EX00242,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 7 des CG.,Tous
EX00243,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 6 des CG.,Premium
EX00244,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 14 des CG.,Eco+
EX00245,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 11 des CG.,Silver+
EX00246,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 44 des CG.,Gold+
EX00247,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 7 des CG.,Eco+
EX00248,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 37 des CG.,VIP
EX00249,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 26 des CG.,Gold
EX00250,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Gold
EX00251,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 29 des CG.,Gold
EX00252,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 20 des CG.,Gold
EX00253,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 18 des CG.,Silver
EX00254,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 16 des CG.,Eco
EX00255,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 8 des CG.,Gold
EX00256,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 9 des CG.,Premium
EX00257,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 29 des CG.,Business
EX00258,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 8 des CG.,Silver+
EX00259,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,Gold+
EX00260,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 34 des CG.,Gold
EX00261,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 34 des CG.,VIP
EX00262,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 38 des CG.,Eco+
EX00263,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 41 des CG.,Premium
EX00264,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 23 des CG.,VIP
EX00265,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 19 des CG.,Silver+
EX00266,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 29 des CG.,Bronze
EX00267,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 21 des CG.,Silver+
EX00268,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 10 des CG.,Gold
EX00269,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 25 des CG.,Gold+
EX00270,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 10 des CG.,Business
EX00271,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 44 des CG.,Bronze
EX00272,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 12 des CG.,Tous
EX00273,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 39 des CG.,Gold+
EX00274,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 24 des CG.,Eco
EX00275,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 6 des CG.,Silver
EX00276,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 17 des CG.,Gold+
EX00277,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 23 des CG.,Tous
EX00278,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 17 des CG.,Eco+
EX00279,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 3 des CG.,Eco+
EX00280,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 12 des CG.,Bronze
EX00281,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 28 des CG.,Eco+
EX00282,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 17 des CG.,Tous
EX00283,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 24 des CG.,Gold+
EX00284,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 41 des CG.,Eco
EX00285,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 6 des CG.,Tous
EX00286,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 11 des CG.,Bronze
EX00287,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 39 des CG.,VIP
EX00288,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 16 des CG.,Bronze
EX00289,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 40 des CG.,Gold
EX00290,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 4 des CG.,Gold+
EX00291,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 38 des CG.,Business
EX00292,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 28 des CG.,VIP
EX00293,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 6 des CG.,VIP
EX00294,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 29 des CG.,Silver
EX00295,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 5 des CG.,Silver+
EX00296,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 44 des CG.,Premium
EX00297,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 38 des CG.,Gold+
EX00298,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 9 des CG.,Premium
EX00299,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 22 des CG.,Tous
EX00300,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 27 des CG.,Premium
EX00301,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 41 des CG.,VIP
EX00302,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 11 des CG.,VIP
EX00303,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 43 des CG.,Eco
EX00304,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 39 des CG.,Gold+
EX00305,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 22 des CG.,Silver+
EX00306,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 7 des CG.,Tous
EX00307,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 11 des CG.,Gold
EX00308,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 29 des CG.,Silver+
EX00309,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 2 des CG.,Silver+
EX00310,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 2 des CG.,VIP
EX00311,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 8 des CG.,Eco+
EX00312,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 41 des CG.,Premium
EX00313,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 7 des CG.,Gold
EX00314,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,VIP
EX00315,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 4 des CG.,Silver
EX00316,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 26 des CG.,Business
EX00317,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 10 des CG.,Premium
EX00318,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 31 des CG.,Business
EX00319,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,VIP
EX00320,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 32 des CG.,Premium
EX00321,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 39 des CG.,Tous
EX00322,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 17 des CG.,Silver
EX00323,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 28 des CG.,Tous
EX00324,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 7 des CG.,Eco
EX00325,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 16 des CG.,Tous
EX00326,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 35 des CG.,Silver
EX00327,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 7 des CG.,Gold+
EX00328,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 28 des CG.,Eco+
EX00329,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 8 des CG.,Silver+
EX00330,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 27 des CG.,Premium
EX00331,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 17 des CG.,Silver
EX00332,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 14 des CG.,Silver+
EX00333,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 33 des CG.,Bronze
EX00334,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 9 des CG.,VIP
EX00335,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 22 des CG.,Gold+
EX00336,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 30 des CG.,Silver+
EX00337,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 7 des CG.,Gold+
EX00338,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 24 des CG.,Tous
EX00339,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 31 des CG.,Bronze
EX00340,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 20 des CG.,Business
EX00341,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 14 des CG.,Eco+
EX00342,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Silver+
EX00343,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 42 des CG.,Business
EX00344,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 4 des CG.,Premium
EX00345,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 26 des CG.,Premium
EX00346,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 2 des CG.,Silver
EX00347,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 33 des CG.,VIP
EX00348,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 15 des CG.,Gold
EX00349,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 22 des CG.,Premium
EX00350,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 4 des CG.,Gold+
EX00351,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 45 des CG.,Silver+
EX00352,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 16 des CG.,Business
EX00353,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 44 des CG.,Business
EX00354,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 11 des CG.,Gold
EX00355,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 11 des CG.,Gold+
EX00356,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 2 des CG.,Silver+
EX00357,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 25 des CG.,Eco
EX00358,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 16 des CG.,Tous
EX00359,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 40 des CG.,Business
EX00360,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 26 des CG.,Silver+
EX00361,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 14 des CG.,Gold
EX00362,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 38 des CG.,Silver+
EX00363,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 25 des CG.,Tous
EX00364,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 10 des CG.,Tous
EX00365,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 4 des CG.,Gold+
EX00366,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 4 des CG.,Bronze
EX00367,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 36 des CG.,Gold+
EX00368,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 20 des CG.,Tous
EX00369,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,VIP
EX00370,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Tous
EX00371,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 33 des CG.,Tous
EX00372,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 18 des CG.,VIP
EX00373,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 37 des CG.,Gold
EX00374,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 23 des CG.,VIP
EX00375,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 25 des CG.,Silver
EX00376,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 26 des CG.,Eco+
EX00377,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 27 des CG.,Silver+
EX00378,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 28 des CG.,Gold
EX00379,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 2 des CG.,Business
EX00380,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 37 des CG.,Business
EX00381,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 4 des CG.,Premium
EX00382,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 22 des CG.,Silver
EX00383,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 15 des CG.,Eco+
EX00384,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 10 des CG.,Premium
EX00385,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 10 des CG.,Gold
EX00386,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 5 des CG.,Eco
EX00387,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 43 des CG.,Eco+
EX00388,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 28 des CG.,VIP
EX00389,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 34 des CG.,VIP
EX00390,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 16 des CG.,Business
EX00391,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 10 des CG.,Business
EX00392,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 42 des CG.,Eco
EX00393,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 32 des CG.,Tous
EX00394,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 4 des CG.,Premium
EX00395,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 29 des CG.,Silver+
EX00396,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 35 des CG.,VIP
EX00397,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 18 des CG.,Tous
EX00398,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 2 des CG.,Silver
EX00399,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 21 des CG.,Eco
EX00400,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 7 des CG.,Tous
EX00401,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 10 des CG.,Premium
EX00402,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 27 des CG.,Business
EX00403,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 16 des CG.,Eco
EX00404,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 10 des CG.,Premium
EX00405,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 28 des CG.,Eco+
EX00406,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 21 des CG.,VIP
EX00407,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 7 des CG.,Eco+
EX00408,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 39 des CG.,Business
EX00409,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 3 des CG.,Premium
EX00410,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 45 des CG.,Silver+
EX00411,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 13 des CG.,Eco+
EX00412,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 19 des CG.,Silver+
EX00413,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 5 des CG.,Tous
EX00414,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 36 des CG.,Tous
EX00415,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 44 des CG.,Bronze
EX00416,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 34 des CG.,Gold+
EX00417,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 5 des CG.,Eco
EX00418,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 34 des CG.,Bronze
EX00419,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 17 des CG.,Eco+
EX00420,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 32 des CG.,Eco+
EX00421,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 10 des CG.,Eco
EX00422,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Eco+
EX00423,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 39 des CG.,Eco
EX00424,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 41 des CG.,Silver+
EX00425,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 38 des CG.,VIP
EX00426,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 32 des CG.,Business
EX00427,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 43 des CG.,Silver
EX00428,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 33 des CG.,Eco+
EX00429,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 36 des CG.,Gold
EX00430,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 18 des CG.,Gold+
EX00431,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 16 des CG.,Eco
EX00432,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 7 des CG.,Gold
EX00433,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 3 des CG.,Silver+
EX00434,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 15 des CG.,Silver
EX00435,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 25 des CG.,Tous
EX00436,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 14 des CG.,Gold+
EX00437,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 45 des CG.,Premium
EX00438,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 26 des CG.,Silver
EX00439,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 24 des CG.,Bronze
