FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00241,Quel est le délai de déclaration d'un sinistre ? (variante 241),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00241.","Délais,assurance auto,Maroc",4
FAQ00242,Comment fonctionne le bonus-malus ? (variante 242),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00242.","Bonus Malus,assurance auto,Maroc",3
FAQ00243,Puis-je assurer une voiture neuve ? (variante 243),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00243.","Souscription,assurance auto,Maroc",2
FAQ00244,Quelle franchise choisir ? (variante 244),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00244.,"Franchise,assurance auto,Maroc",3
FAQ00245,Comment résilier mon contrat ? (variante 245),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00245.,"Résiliation,assurance auto,Maroc",2
FAQ00246,Le vol est-il couvert ? (variante 246),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00246.","Garanties,assurance auto,Maroc",4
FAQ00247,Quels documents pour souscrire ? (variante 247),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00247.","Souscription,assurance auto,Maroc",5
FAQ00248,Puis-je payer mensuellement ? (variante 248),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00248.","Paiement,assurance auto,Maroc",2
FAQ00249,Comment contester un refus d'indemnisation ? (variante 249),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00249.,"Réclamations,assurance auto,Maroc",2
FAQ00250,Comment déclarer un sinistre ? (variante 250),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00250.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00251,Quel est le délai de déclaration d'un sinistre ? (variante 251),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00251.","Délais,assurance auto,Maroc",1
FAQ00252,Comment fonctionne le bonus-malus ? (variante 252),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00252.","Bonus Malus,assurance auto,Maroc",3
FAQ00253,Puis-je assurer une voiture neuve ? (variante 253),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00253.","Souscription,assurance auto,Maroc",5
FAQ00254,Quelle franchise choisir ? (variante 254),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00254.,"Franchise,assurance auto,Maroc",3
FAQ00255,Comment résilier mon contrat ? (variante 255),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00255.,"Résiliation,assurance auto,Maroc",1
FAQ00256,Le vol est-il couvert ? (variante 256),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00256.","Garanties,assurance auto,Maroc",4
FAQ00257,Quels documents pour souscrire ? (variante 257),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00257.","Souscription,assurance auto,Maroc",2
FAQ00258,Puis-je payer mensuellement ? (variante 258),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00258.","Paiement,assurance auto,Maroc",4
FAQ00259,Comment contester un refus d'indemnisation ? (variante 259),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00259.,"Réclamations,assurance auto,Maroc",4
FAQ00260,Comment déclarer un sinistre ? (variante 260),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00260.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00261,Quel est le délai de déclaration d'un sinistre ? (variante 261),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00261.","Délais,assurance auto,Maroc",2
FAQ00262,Comment fonctionne le bonus-malus ? (variante 262),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00262.","Bonus Malus,assurance auto,Maroc",5
FAQ00263,Puis-je assurer une voiture neuve ? (variante 263),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00263.","Souscription,assurance auto,Maroc",3
FAQ00264,Quelle franchise choisir ? (variante 264),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00264.,"Franchise,assurance auto,Maroc",1
FAQ00265,Comment résilier mon contrat ? (variante 265),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00265.,"Résiliation,assurance auto,Maroc",2
FAQ00266,Le vol est-il couvert ? (variante 266),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00266.","Garanties,assurance auto,Maroc",4
FAQ00267,Quels documents pour souscrire ? (variante 267),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00267.","Souscription,assurance auto,Maroc",2
FAQ00268,Puis-je payer mensuellement ? (variante 268),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00268.","Paiement,assurance auto,Maroc",1
FAQ00269,Comment contester un refus d'indemnisation ? (variante 269),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00269.,"Réclamations,assurance auto,Maroc",4
FAQ00270,Comment déclarer un sinistre ? (variante 270),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00270.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00271,Quel est le délai de déclaration d'un sinistre ? (variante 271),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00271.","Délais,assurance auto,Maroc",1
FAQ00272,Comment fonctionne le bonus-malus ? (variante 272),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00272.","Bonus Malus,assurance auto,Maroc",4
FAQ00273,Puis-je assurer une voiture neuve ? (variante 273),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00273.","Souscription,assurance auto,Maroc",1
FAQ00274,Quelle franchise choisir ? (variante 274),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00274.,"Franchise,assurance auto,Maroc",2
FAQ00275,Comment résilier mon contrat ? (variante 275),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00275.,"Résiliation,assurance auto,Maroc",2
FAQ00276,Le vol est-il couvert ? (variante 276),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00276.","Garanties,assurance auto,Maroc",5
FAQ00277,Quels documents pour souscrire ? (variante 277),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00277.","Souscription,assurance auto,Maroc",4
FAQ00278,Puis-je payer mensuellement ? (variante 278),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00278.","Paiement,assurance auto,Maroc",5
FAQ00279,Comment contester un refus d'indemnisation ? (variante 279),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00279.,"Réclamations,assurance auto,Maroc",5
FAQ00280,Comment déclarer un sinistre ? (variante 280),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00280.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00281,Quel est le délai de déclaration d'un sinistre ? (variante 281),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00281.","Délais,assurance auto,Maroc",3
FAQ00282,Comment fonctionne le bonus-malus ? (variante 282),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00282.","Bonus Malus,assurance auto,Maroc",1
FAQ00283,Puis-je assurer une voiture neuve ? (variante 283),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00283.","Souscription,assurance auto,Maroc",4
FAQ00284,Quelle franchise choisir ? (variante 284),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00284.,"Franchise,assurance auto,Maroc",2
FAQ00285,Comment résilier mon contrat ? (variante 285),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00285.,"Résiliation,assurance auto,Maroc",1
FAQ00286,Le vol est-il couvert ? (variante 286),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00286.","Garanties,assurance auto,Maroc",5
FAQ00287,Quels documents pour souscrire ? (variante 287),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00287.","Souscription,assurance auto,Maroc",2
FAQ00288,Puis-je payer mensuellement ? (variante 288),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00288.","Paiement,assurance auto,Maroc",1
FAQ00289,Comment contester un refus d'indemnisation ? (variante 289),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00289.,"Réclamations,assurance auto,Maroc",3
FAQ00290,Comment déclarer un sinistre ? (variante 290),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00290.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00291,Quel est le délai de déclaration d'un sinistre ? (variante 291),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00291.","Délais,assurance auto,Maroc",5
FAQ00292,Comment fonctionne le bonus-malus ? (variante 292),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00292.","Bonus Malus,assurance auto,Maroc",5
FAQ00293,Puis-je assurer une voiture neuve ? (variante 293),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00293.","Souscription,assurance auto,Maroc",3
FAQ00294,Quelle franchise choisir ? (variante 294),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00294.,"Franchise,assurance auto,Maroc",4
FAQ00295,Comment résilier mon contrat ? (variante 295),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00295.,"Résiliation,assurance auto,Maroc",5
FAQ00296,Le vol est-il couvert ? (variante 296),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00296.","Garanties,assurance auto,Maroc",5
FAQ00297,Quels documents pour souscrire ? (variante 297),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00297.","Souscription,assurance auto,Maroc",5
FAQ00298,Puis-je payer mensuellement ? (variante 298),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00298.","Paiement,assurance auto,Maroc",3
FAQ00299,Comment contester un refus d'indemnisation ? (variante 299),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00299.,"Réclamations,assurance auto,Maroc",1
FAQ00300,Comment déclarer un sinistre ? (variante 300),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00300.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00301,Quel est le délai de déclaration d'un sinistre ? (variante 301),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00301.","Délais,assurance auto,Maroc",5
FAQ00302,Comment fonctionne le bonus-malus ? (variante 302),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00302.","Bonus Malus,assurance auto,Maroc",2
FAQ00303,Puis-je assurer une voiture neuve ? (variante 303),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00303.","Souscription,assurance auto,Maroc",4
FAQ00304,Quelle franchise choisir ? (variante 304),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00304.,"Franchise,assurance auto,Maroc",2
FAQ00305,Comment résilier mon contrat ? (variante 305),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00305.,"Résiliation,assurance auto,Maroc",3
FAQ00306,Le vol est-il couvert ? (variante 306),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00306.","Garanties,assurance auto,Maroc",3
FAQ00307,Quels documents pour souscrire ? (variante 307),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00307.","Souscription,assurance auto,Maroc",4
FAQ00308,Puis-je payer mensuellement ? (variante 308),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00308.","Paiement,assurance auto,Maroc",5
FAQ00309,Comment contester un refus d'indemnisation ? (variante 309),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00309.,"Réclamations,assurance auto,Maroc",3
FAQ00310,Comment déclarer un sinistre ? (variante 310),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00310.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00311,Quel est le délai de déclaration d'un sinistre ? (variante 311),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00311.","Délais,assurance auto,Maroc",5
FAQ00312,Comment fonctionne le bonus-malus ? (variante 312),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00312.","Bonus Malus,assurance auto,Maroc",3
FAQ00313,Puis-je assurer une voiture neuve ? (variante 313),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00313.","Souscription,assurance auto,Maroc",3
FAQ00314,Quelle franchise choisir ? (variante 314),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00314.,"Franchise,assurance auto,Maroc",4
FAQ00315,Comment résilier mon contrat ? (variante 315),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00315.,"Résiliation,assurance auto,Maroc",4
FAQ00316,Le vol est-il couvert ? (variante 316),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00316.","Garanties,assurance auto,Maroc",5
FAQ00317,Quels documents pour souscrire ? (variante 317),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00317.","Souscription,assurance auto,Maroc",2
FAQ00318,Puis-je payer mensuellement ? (variante 318),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00318.","Paiement,assurance auto,Maroc",2
FAQ00319,Comment contester un refus d'indemnisation ? (variante 319),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00319.,"Réclamations,assurance auto,Maroc",5
FAQ00320,Comment déclarer un sinistre ? (variante 320),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00320.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00321,Quel est le délai de déclaration d'un sinistre ? (variante 321),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00321.","Délais,assurance auto,Maroc",3
FAQ00322,Comment fonctionne le bonus-malus ? (variante 322),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00322.","Bonus Malus,assurance auto,Maroc",1
FAQ00323,Puis-je assurer une voiture neuve ? (variante 323),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00323.","Souscription,assurance auto,Maroc",4
FAQ00324,Quelle franchise choisir ? (variante 324),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00324.,"Franchise,assurance auto,Maroc",1
FAQ00325,Comment résilier mon contrat ? (variante 325),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00325.,"Résiliation,assurance auto,Maroc",4
FAQ00326,Le vol est-il couvert ? (variante 326),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00326.","Garanties,assurance auto,Maroc",5
FAQ00327,Quels documents pour souscrire ? (variante 327),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00327.","Souscription,assurance auto,Maroc",1
FAQ00328,Puis-je payer mensuellement ? (variante 328),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00328.","Paiement,assurance auto,Maroc",1
FAQ00329,Comment contester un refus d'indemnisation ? (variante 329),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00329.,"Réclamations,assurance auto,Maroc",2
FAQ00330,Comment déclarer un sinistre ? (variante 330),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00330.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00331,Quel est le délai de déclaration d'un sinistre ? (variante 331),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00331.","Délais,assurance auto,Maroc",4
FAQ00332,Comment fonctionne le bonus-malus ? (variante 332),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00332.","Bonus Malus,assurance auto,Maroc",3
FAQ00333,Puis-je assurer une voiture neuve ? (variante 333),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00333.","Souscription,assurance auto,Maroc",1
FAQ00334,Quelle franchise choisir ? (variante 334),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00334.,"Franchise,assurance auto,Maroc",1
FAQ00335,Comment résilier mon contrat ? (variante 335),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00335.,"Résiliation,assurance auto,Maroc",5
FAQ00336,Le vol est-il couvert ? (variante 336),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00336.","Garanties,assurance auto,Maroc",2
FAQ00337,Quels documents pour souscrire ? (variante 337),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00337.","Souscription,assurance auto,Maroc",3
FAQ00338,Puis-je payer mensuellement ? (variante 338),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00338.","Paiement,assurance auto,Maroc",2
FAQ00339,Comment contester un refus d'indemnisation ? (variante 339),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00339.,"Réclamations,assurance auto,Maroc",4
FAQ00340,Comment déclarer un sinistre ? (variante 340),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00340.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00341,Quel est le délai de déclaration d'un sinistre ? (variante 341),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00341.","Délais,assurance auto,Maroc",5
FAQ00342,Comment fonctionne le bonus-malus ? (variante 342),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00342.","Bonus Malus,assurance auto,Maroc",3
FAQ00343,Puis-je assurer une voiture neuve ? (variante 343),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00343.","Souscription,assurance auto,Maroc",2
FAQ00344,Quelle franchise choisir ? (variante 344),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00344.,"Franchise,assurance auto,Maroc",2
FAQ00345,Comment résilier mon contrat ? (variante 345),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00345.,"Résiliation,assurance auto,Maroc",2
FAQ00346,Le vol est-il couvert ? (variante 346),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00346.","Garanties,assurance auto,Maroc",2
FAQ00347,Quels documents pour souscrire ? (variante 347),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00347.","Souscription,assurance auto,Maroc",1
FAQ00348,Puis-je payer mensuellement ? (variante 348),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00348.","Paiement,assurance auto,Maroc",1
FAQ00349,Comment contester un refus d'indemnisation ? (variante 349),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00349.,"Réclamations,assurance auto,Maroc",4
FAQ00350,Comment déclarer un sinistre ? (variante 350),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00350.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00351,Quel est le délai de déclaration d'un sinistre ? (variante 351),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00351.","Délais,assurance auto,Maroc",4
FAQ00352,Comment fonctionne le bonus-malus ? (variante 352),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00352.","Bonus Malus,assurance auto,Maroc",4
FAQ00353,Puis-je assurer une voiture neuve ? (variante 353),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00353.","Souscription,assurance auto,Maroc",4
FAQ00354,Quelle franchise choisir ? (variante 354),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00354.,"Franchise,assurance auto,Maroc",3
FAQ00355,Comment résilier mon contrat ? (variante 355),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00355.,"Résiliation,assurance auto,Maroc",3
FAQ00356,Le vol est-il couvert ? (variante 356),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00356.","Garanties,assurance auto,Maroc",5
FAQ00357,Quels documents pour souscrire ? (variante 357),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00357.","Souscription,assurance auto,Maroc",5
FAQ00358,Puis-je payer mensuellement ? (variante 358),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00358.","Paiement,assurance auto,Maroc",1
FAQ00359,Comment contester un refus d'indemnisation ? (variante 359),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00359.,"Réclamations,assurance auto,Maroc",2
FAQ00360,Comment déclarer un sinistre ? (variante 360),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00360.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00361,Quel est le délai de déclaration d'un sinistre ? (variante 361),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00361.","Délais,assurance auto,Maroc",4
FAQ00362,Comment fonctionne le bonus-malus ? (variante 362),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00362.","Bonus Malus,assurance auto,Maroc",2
FAQ00363,Puis-je assurer une voiture neuve ? (variante 363),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00363.","Souscription,assurance auto,Maroc",4
FAQ00364,Quelle franchise choisir ? (variante 364),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00364.,"Franchise,assurance auto,Maroc",2
FAQ00365,Comment résilier mon contrat ? (variante 365),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00365.,"Résiliation,assurance auto,Maroc",3
FAQ00366,Le vol est-il couvert ? (variante 366),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00366.","Garanties,assurance auto,Maroc",5
FAQ00367,Quels documents pour souscrire ? (variante 367),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00367.","Souscription,assurance auto,Maroc",1
FAQ00368,Puis-je payer mensuellement ? (variante 368),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00368.","Paiement,assurance auto,Maroc",3
FAQ00369,Comment contester un refus d'indemnisation ? (variante 369),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00369.,"Réclamations,assurance auto,Maroc",4
FAQ00370,Comment déclarer un sinistre ? (variante 370),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00370.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00371,Quel est le délai de déclaration d'un sinistre ? (variante 371),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00371.","Délais,assurance auto,Maroc",3
FAQ00372,Comment fonctionne le bonus-malus ? (variante 372),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00372.","Bonus Malus,assurance auto,Maroc",2
FAQ00373,Puis-je assurer une voiture neuve ? (variante 373),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00373.","Souscription,assurance auto,Maroc",4
FAQ00374,Quelle franchise choisir ? (variante 374),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00374.,"Franchise,assurance auto,Maroc",2
